threads,init_time_s,work_time_s,checksum,iters,final_diff
1,0.00169831,39.2313,39960.9,10,0.000976562
2,0.00114233,19.7313,39960.9,10,0.000976562
4,0.000673772,10.2309,39960.9,10,0.000976562
6,0.000594646,6.74294,39960.9,10,0.000976562
8,0.000548137,5.10609,39960.9,10,0.000976562
16,0.00104532,2.74781,39960.9,10,0.000976562
20,0.000792386,2.21876,39960.9,10,0.000976562
40,0.00207994,1.98572,39960.9,10,0.000976562
